person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
28,25024,MORTGAGE,0.3,HOMEIMPROVEMENT,D,25327,12.97,1.012,N,7,1
47,88947,MORTGAGE,1.4,DEBTCONSOLIDATION,E,21066,5.74,0.237,N,21,1
45,75037,MORTGAGE,8.0,PERSONAL,A,23888,13.95,0.318,N,4,0
28,47600,MORTGAGE,7.5,HOMEIMPROVEMENT,A,5236,9.87,0.11,N,13,0
45,46527,OWN,0.9,PERSONAL,A,5754,15.66,0.124,Y,20,0
33,47579,RENT,1.4,EDUCATION,A,24293,10.56,0.511,N,23,0
53,31389,RENT,6.1,PERSONAL,G,9039,14.84,0.288,N,4,0
23,24975,OWN,2.4,EDUCATION,C,1261,6.16,0.05,N,3,0
52,66207,RENT,6.7,VENTURE,A,4078,14.5,0.062,Y,27,0
61,66530,MORTGAGE,7.8,DEBTCONSOLIDATION,C,7323,7.68,0.11,N,18,0
45,37903,MORTGAGE,3.9,DEBTCONSOLIDATION,A,28291,12.08,0.746,Y,21,1
52,125953,RENT,3.8,VENTURE,E,21632,13.42,0.172,N,6,0
24,98293,RENT,10.5,VENTURE,E,30097,10.92,0.306,N,29,0
43,42065,RENT,9.8,PERSONAL,E,26564,14.06,0.631,N,7,1
54,36610,RENT,4.1,EDUCATION,D,13454,,0.367,N,22,0
48,27979,MORTGAGE,1.4,EDUCATION,D,4664,12.55,0.167,N,21,0
57,27563,MORTGAGE,2.6,MEDICAL,E,3275,9.98,0.119,N,9,0
57,49280,MORTGAGE,3.0,HOMEIMPROVEMENT,B,14586,,0.296,N,16,1
52,49987,MORTGAGE,11.9,MEDICAL,B,28353,15.62,0.567,N,28,0
24,25291,RENT,1.4,MEDICAL,C,23907,9.18,0.945,Y,22,1
29,67965,RENT,2.6,PERSONAL,A,17256,9.64,0.254,N,5,0
28,65278,RENT,7.6,VENTURE,B,18087,7.55,0.277,N,16,0
64,32110,RENT,2.1,PERSONAL,D,31792,14.1,0.99,N,21,1
46,69403,RENT,6.8,MEDICAL,F,24705,9.35,0.356,Y,17,1
47,56114,OWN,1.5,PERSONAL,A,26144,10.24,0.466,N,8,0
47,43764,OWN,3.7,EDUCATION,C,27691,14.04,0.633,Y,19,1
45,18306,RENT,2.0,MEDICAL,F,10952,9.41,0.598,N,13,1
53,19206,RENT,6.4,VENTURE,C,10738,10.42,0.559,N,2,0
23,46577,RENT,8.4,MEDICAL,C,31359,12.71,0.673,N,25,0
29,18239,RENT,4.4,MEDICAL,D,10049,13.47,0.551,N,2,0
52,61552,RENT,1.1,EDUCATION,B,7393,10.36,0.12,N,29,0
43,49202,RENT,,MEDICAL,B,1661,12.32,0.034,N,4,0
21,39669,RENT,5.1,VENTURE,B,12161,5.0,0.307,N,9,0
41,51158,MORTGAGE,,DEBTCONSOLIDATION,E,13790,12.23,0.27,N,29,0
52,46142,RENT,2.3,DEBTCONSOLIDATION,G,5260,12.05,0.114,N,15,1
46,58454,MORTGAGE,8.6,EDUCATION,A,15208,8.72,0.26,N,16,0
52,23121,RENT,1.9,HOMEIMPROVEMENT,D,19781,10.78,0.856,N,23,1
43,23420,RENT,1.6,VENTURE,A,34311,10.57,1.465,N,17,1
47,29639,RENT,10.7,EDUCATION,B,10364,7.62,0.35,N,24,0
31,39469,RENT,8.6,DEBTCONSOLIDATION,B,26052,,0.66,N,9,1
61,62523,OWN,0.3,DEBTCONSOLIDATION,C,18104,10.02,0.29,N,23,0
59,44261,MORTGAGE,4.7,PERSONAL,F,32961,12.12,0.745,N,4,1
24,44055,MORTGAGE,5.4,DEBTCONSOLIDATION,C,3716,14.84,0.084,N,21,0
25,50912,RENT,1.4,EDUCATION,A,16218,9.9,0.319,N,20,1
29,36584,RENT,7.5,DEBTCONSOLIDATION,C,1824,12.13,0.05,N,13,0
63,57060,MORTGAGE,11.5,HOMEIMPROVEMENT,E,19701,9.37,0.345,N,14,1
41,28264,MORTGAGE,2.6,VENTURE,B,4594,8.59,0.163,N,14,0
39,35658,MORTGAGE,0.7,PERSONAL,A,30859,10.21,0.865,N,25,1
53,34681,RENT,4.4,DEBTCONSOLIDATION,C,986,11.63,0.028,N,29,0
33,38823,RENT,11.8,PERSONAL,E,24447,7.35,0.63,N,7,1
40,40140,MORTGAGE,9.6,EDUCATION,C,6694,11.35,0.167,N,24,0
39,36980,RENT,,DEBTCONSOLIDATION,A,31575,11.52,0.854,N,19,0
46,70450,RENT,3.3,PERSONAL,A,13416,12.8,0.19,N,26,0
41,83328,RENT,10.0,PERSONAL,A,19288,11.04,0.231,N,25,0
42,79174,MORTGAGE,10.0,DEBTCONSOLIDATION,C,19647,14.22,0.248,N,5,0
23,28992,MORTGAGE,4.8,PERSONAL,D,24152,5.97,0.833,N,20,0
38,25316,MORTGAGE,1.9,HOMEIMPROVEMENT,E,27801,14.33,1.098,N,10,0
36,50966,RENT,0.7,PERSONAL,A,28630,9.5,0.562,N,5,0
38,22082,RENT,4.1,EDUCATION,B,6761,13.45,0.306,N,8,0
38,27442,MORTGAGE,11.9,MEDICAL,C,27012,,0.984,N,15,1
46,39767,OWN,10.9,EDUCATION,A,965,15.03,0.024,N,3,0
54,32502,RENT,7.3,MEDICAL,C,19497,9.44,0.6,Y,22,1
41,22818,RENT,4.1,VENTURE,B,29178,10.04,1.279,Y,27,1
63,42346,RENT,3.7,HOMEIMPROVEMENT,B,19158,16.03,0.452,Y,15,0
64,34330,MORTGAGE,8.0,MEDICAL,F,4772,14.91,0.139,N,16,1
58,81882,RENT,11.2,DEBTCONSOLIDATION,B,13950,10.85,0.17,N,7,0
36,111880,OWN,9.8,MEDICAL,A,15721,9.57,0.141,N,9,0
20,62602,MORTGAGE,2.3,VENTURE,D,23292,8.6,0.372,N,27,0
23,52114,OWN,2.7,MEDICAL,A,22375,7.15,0.429,N,13,0
40,24317,RENT,,VENTURE,D,22358,11.72,0.919,N,7,1
27,85862,RENT,1.5,PERSONAL,A,2547,13.11,0.03,Y,15,0
64,51659,MORTGAGE,3.1,EDUCATION,D,4539,8.86,0.088,N,6,0
41,16445,MORTGAGE,4.2,VENTURE,B,7563,7.96,0.46,N,6,0
55,46129,RENT,7.4,HOMEIMPROVEMENT,A,23973,7.65,0.52,N,4,1
34,60307,RENT,7.7,MEDICAL,A,5634,10.19,0.093,N,24,0
24,42763,RENT,2.9,PERSONAL,C,4589,13.87,0.107,N,8,0
29,33354,RENT,,DEBTCONSOLIDATION,B,34923,6.61,1.047,N,9,1
32,18008,RENT,2.1,EDUCATION,A,28435,,1.579,N,14,1
29,32112,MORTGAGE,3.0,MEDICAL,A,7527,8.9,0.234,N,17,0
25,41543,RENT,2.1,EDUCATION,G,23226,14.84,0.559,Y,21,1
47,60647,RENT,13.8,VENTURE,D,14395,8.37,0.237,N,15,0
21,66143,RENT,8.9,PERSONAL,C,20098,13.68,0.304,N,21,0
30,65328,OWN,3.4,DEBTCONSOLIDATION,C,24962,10.15,0.382,N,28,0
53,55062,MORTGAGE,3.0,MEDICAL,D,15103,15.03,0.274,Y,17,1
38,77036,RENT,0.7,MEDICAL,C,1643,5.0,0.021,N,14,0
41,100056,RENT,9.6,VENTURE,C,27611,15.9,0.276,N,24,0
45,42043,MORTGAGE,15.6,EDUCATION,A,1413,,0.034,N,7,0
32,67087,OTHER,5.6,PERSONAL,E,12700,13.57,0.189,N,27,0
44,69137,RENT,4.6,VENTURE,F,30597,10.2,0.443,Y,2,0
64,68549,MORTGAGE,2.5,EDUCATION,D,10695,14.36,0.156,Y,4,1
32,131217,OWN,,DEBTCONSOLIDATION,C,8189,17.66,0.062,Y,27,0
44,11516,RENT,1.1,PERSONAL,D,9204,19.18,0.799,N,5,1
58,20888,RENT,3.2,VENTURE,B,29459,15.76,1.41,N,2,1
45,22538,OWN,9.4,DEBTCONSOLIDATION,E,9025,5.46,0.4,N,16,1
59,43152,OWN,0.8,VENTURE,B,25945,8.06,0.601,N,24,1
63,73196,MORTGAGE,2.8,MEDICAL,E,21526,11.27,0.294,N,13,1
53,63851,MORTGAGE,4.6,PERSONAL,D,13766,10.57,0.216,Y,28,0
28,36615,MORTGAGE,4.9,DEBTCONSOLIDATION,C,27317,12.72,0.746,N,29,1
45,114109,OWN,1.5,HOMEIMPROVEMENT,G,22283,7.83,0.195,N,6,0
33,60460,MORTGAGE,2.4,EDUCATION,F,4356,8.47,0.072,N,2,0
44,39206,RENT,0.9,VENTURE,B,15701,14.25,0.4,N,15,0
22,35464,RENT,10.1,VENTURE,D,23760,12.95,0.67,N,9,1
21,33370,RENT,12.7,EDUCATION,D,26146,6.85,0.784,N,21,0
49,27499,MORTGAGE,15.9,EDUCATION,A,13589,8.34,0.494,N,3,0
24,54917,RENT,15.3,DEBTCONSOLIDATION,E,24201,18.57,0.441,N,14,1
27,74831,MORTGAGE,4.1,DEBTCONSOLIDATION,G,21648,9.32,0.289,N,28,0
31,42524,RENT,3.1,EDUCATION,B,4494,10.2,0.106,N,28,0
52,36732,MORTGAGE,4.0,VENTURE,C,7534,10.09,0.205,N,5,0
32,24729,MORTGAGE,2.1,VENTURE,C,26567,15.6,1.074,N,18,1
56,24179,MORTGAGE,4.2,EDUCATION,B,15779,10.09,0.653,N,20,1
48,70183,RENT,24.4,PERSONAL,B,11616,9.33,0.166,N,2,0
37,33843,RENT,4.6,EDUCATION,F,22549,9.84,0.666,N,10,1
47,34944,MORTGAGE,1.0,VENTURE,C,27148,5.1,0.777,N,13,1
32,91363,OWN,17.9,VENTURE,A,12769,16.34,0.14,N,25,0
